강인한, 95, 89, 98, 99, 381, 95.25
장윤아, 90, 91, 93, 89, 363, 90.75
김수영, 76, 87, 89, 79, 331, 82.75
민효연, 92, 91, 87, 77, 347, 86.75
성유리, 87, 90, 78, 70, 325, 81.25
한태연, 88, 77, 68, 78, 311, 77.75
곽서현, 88, 99, 66, 77, 330, 82.50
박규리, 79, 87, 97, 99, 362, 90.50
강지영, 67, 69, 79, 78, 293, 73.25
한지영, 98, 78, 97, 88, 361, 90.25
한준수, 57, 67, 65, 76, 265, 66.25
홍준호, 78, 73, 69, 79, 299, 74.75
임찬성, 68, 78, 67, 65, 278, 69.50
강우영, 80, 90, 89, 77, 336, 84.00
박택훈, 47, 65, 55, 67, 234, 58.50
조성권, 76, 56, 67, 87, 286, 71.50
이창훈, 88, 89, 85, 92, 354, 88.50
정진석, 89, 90, 78, 80, 337, 84.25
정운태, 91, 93, 89, 90, 363, 90.75
홍민수, 89, 99, 87, 93, 368, 92.00
